####################### start test simulator #########################
####################### start test simulator #########################
####################### start test simulator #########################
SPEED: 9549 :Mbit/s,DROP: 0 
SPEED: 9572 :Mbit/s,DROP: 0 
SPEED: 8928 :Mbit/s,DROP: 0 
SPEED: 8613 :Mbit/s,DROP: 0 
SPEED: 9070 :Mbit/s,DROP: 0 
SPEED: 9476 :Mbit/s,DROP: 0 
SPEED: 9524 :Mbit/s,DROP: 0 
SPEED: 9813 :Mbit/s,DROP: 0 
SPEED: 9497 :Mbit/s,DROP: 0 
SPEED: 8717 :Mbit/s,DROP: 0 
SPEED: 10028 :Mbit/s,DROP: 0 
SPEED: 11830 :Mbit/s,DROP: 0 
SPEED: 9608 :Mbit/s,DROP: 0 
SPEED: 10546 :Mbit/s,DROP: 0 
SPEED: 9292 :Mbit/s,DROP: 0 
SPEED: 9843 :Mbit/s,DROP: 0 
SPEED: 9207 :Mbit/s,DROP: 0 
SPEED: 8881 :Mbit/s,DROP: 0 
SPEED: 10012 :Mbit/s,DROP: 0 
SPEED: 10004 :Mbit/s,DROP: 0 
SPEED: 8450 :Mbit/s,DROP: 0 
SPEED: 9481 :Mbit/s,DROP: 0 
SPEED: 10126 :Mbit/s,DROP: 0 
SPEED: 10542 :Mbit/s,DROP: 0 
SPEED: 11285 :Mbit/s,DROP: 0 
SPEED: 11579 :Mbit/s,DROP: 0 
SPEED: 10503 :Mbit/s,DROP: 0 
SPEED: 8989 :Mbit/s,DROP: 0 
SPEED: 10279 :Mbit/s,DROP: 0 
SPEED: 10344 :Mbit/s,DROP: 0 
SPEED: 9758 :Mbit/s,DROP: 0 
SPEED: 9411 :Mbit/s,DROP: 0 
SPEED: 9708 :Mbit/s,DROP: 0 
SPEED: 10880 :Mbit/s,DROP: 0 
SPEED: 10166 :Mbit/s,DROP: 0 
SPEED: 10275 :Mbit/s,DROP: 0 
SPEED: 10673 :Mbit/s,DROP: 0 
SPEED: 9321 :Mbit/s,DROP: 0 
SPEED: 11302 :Mbit/s,DROP: 0 
SPEED: 10420 :Mbit/s,DROP: 0 
SPEED: 11013 :Mbit/s,DROP: 0 
SPEED: 10151 :Mbit/s,DROP: 0 
SPEED: 10351 :Mbit/s,DROP: 0 
SPEED: 9861 :Mbit/s,DROP: 0 
SPEED: 12015 :Mbit/s,DROP: 0 
SPEED: 9850 :Mbit/s,DROP: 0 
SPEED: 7990 :Mbit/s,DROP: 0 
SPEED: 7542 :Mbit/s,DROP: 0 
SPEED: 7969 :Mbit/s,DROP: 0 
SPEED: 10143 :Mbit/s,DROP: 0 
SPEED: 11118 :Mbit/s,DROP: 0 
SPEED: 9883 :Mbit/s,DROP: 0 
SPEED: 10085 :Mbit/s,DROP: 0 
SPEED: 10446 :Mbit/s,DROP: 0 
SPEED: 9808 :Mbit/s,DROP: 0 
SPEED: 9417 :Mbit/s,DROP: 0 
####################### start test simulator #########################
SPEED: 518 :Mbit/s,DROP: 0 
SPEED: 514 :Mbit/s,DROP: 0 
SPEED: 517 :Mbit/s,DROP: 0 
SPEED: 513 :Mbit/s,DROP: 0 
SPEED: 519 :Mbit/s,DROP: 0 
SPEED: 514 :Mbit/s,DROP: 0 
SPEED: 517 :Mbit/s,DROP: 0 
SPEED: 512 :Mbit/s,DROP: 0 
SPEED: 517 :Mbit/s,DROP: 0 
SPEED: 513 :Mbit/s,DROP: 0 
SPEED: 516 :Mbit/s,DROP: 0 
SPEED: 513 :Mbit/s,DROP: 0 
SPEED: 517 :Mbit/s,DROP: 0 
SPEED: 513 :Mbit/s,DROP: 0 
